row,col,type,design_id,batch,treatment
A,1,sample,REF,1,-IPTG/-stress
A,2,sample,REF,1,+IPTG/-stress
A,3,sample,REF,1,-IPTG/+stress
A,4,sample,REF,1,+IPTG/+stress
A,5,sample,g1,1,-IPTG/-stress
A,6,sample,g1,1,+IPTG/-stress
A,7,sample,g1,1,-IPTG/+stress
A,8,sample,g1,1,+IPTG/+stress
A,9,sample,g2,1,-IPTG/-stress
A,10,sample,g2,1,+IPTG/-stress
A,11,sample,g2,1,-IPTG/+stress
A,12,sample,g2,1,+IPTG/+stress
B,1,sample,g3,1,-IPTG/-stress
B,2,sample,g3,1,+IPTG/-stress
B,3,sample,g3,1,-IPTG/+stress
B,4,sample,g3,1,+IPTG/+stress
B,5,blank,blank,1,-IPTG/-stress
B,6,blank,blank,1,+IPTG/-stress
B,7,blank,blank,1,-IPTG/+stress
B,8,blank,blank,1,+IPTG/+stress
